Risk ID,risk_title,Description ,CATEGORY,likelihood,Impact,Risk Score,Risk Owner,status,Mitigation / Action,raised,review date,Exposure
R-001,Unrecorded below-ground obstructions in the north-east corner,Piling hit the brick foundations of former Victorian warehouses and a disused culvert that the site investigation did not show.,Technical,High,High,16,Gareth Pryce,CLOSED,Probing ahead of the piling rig; rig resequenced to other areas while obstructions were broken out on dayworks.,2026-01-20,2026-08-21,450000
R-002,Groundwater higher than the site investigation predicted,"Groundwater stood about 1.5 metres above the level in the site investigation report, flooding the basement excavation after heavy rain.",Technical,3,High,M/H,Gareth Pryce,Mitigated,Four additional deep wells installed. Dewatering switched off once the basement raft and walls were complete in May.,10/02/2026,16/10/2026,"280,000"
R-003,Structural steel delivered late by Brennan Steel Fabrications,"A shortage of heavy column sections at the mill delayed first steel by five weeks. Liquidated damages are 45,000 per week beyond the contract completion date.",Schedule,80%,Very High,20,Siobhan Carter,In Progress,"Recovery plan approved 12 June: weekend erection shifts, a second mobile crane, and columns resequenced so floors 1-6 could be erected first.",14-Apr-26,09-Oct-26,"£520,000"
R-004,Curtain wall subcontractor in financial distress,Vitrana Facades asked for accelerated payment terms and missed a payment to its aluminium extrusion supplier in May.,Vendor,Medium,Very High,15,Rukayat Okafor,Open,Project bank account in place from July; vesting certificates held for units fabricated off site; parent company guarantee requested.,6 May 2026,2 October 2026,£0.7M
R-005,Tower crane downtime from winter wind,TC1 is out of service above 38 mph. The programme allowed eight lost days over the winter.,Schedule,3,Medium,M/M,Gareth Pryce,Closed,Critical lifts moved to early mornings; five days lost against the eight allowed.,November 2025,March 2026,"60,000 GBP"
R-006,Substation energisation date not confirmed by the network operator,"The regional distribution network operator has not confirmed an energisation date for the new 1,500 kVA substation. Commissioning cannot start without it.",Vendor,50%,High,12,Liam O'Connor,Open,Temporary generator strategy costed for commissioning; monthly escalation through the client's utilities adviser.,03/02/2026,10/23/2026,390k
R-007,Building control approval of revised slab-edge fire-stopping,Changing the curtain wall bracket changed the fire-stopping detail at the slab edge. Building control has not yet approved it.,Regulatory,Medium,High,12,Hannah Mercer,open,,2026-07-15,2026-10-30,240000
R-008,BREEAM Excellent credits at risk from embodied carbon,Swapping in heavier column sections to cover the mill shortage raised embodied carbon above the figure assumed at design stage.,Regulatory,1,Medium,L/M,Amrita Sandhu,open,???,30/06/2026,13/11/2026,"90,000"
R-009,MEP second-fix labour shortage over the winter,Halden needs 42 electricians at peak from November. It has 28 committed, and two other city-centre projects are recruiting for the same trades.,Resource,80%,Medium,12,Liam O'Connor,open,Second electrical subcontractor gang being procured; prefabricated riser modules to reduce on-site labour.,11-Aug-26,09-Oct-26,"£310,000"
R-010,Anchor tenant change requests on levels 7-10," Lorimer Hale LLP asked for a deeper raised-floor void, two extra risers and a revised reception on level 7 – raised at the vendor review.",Change,Medium,Medium,9,Amrita Sandhu,In Progress,Two of five changes instructed with agreed costs; three still with the client for review.,22 May 2026,16 October 2026,£0.2M
R-011,Crane oversail licence with the adjoining owner,"TC1's jib passes over the neighbouring Corn Exchange Chambers, so a licence is needed to oversail.",Regulatory,1,Medium,L/M,,mitigated,Oversail licence signed in January with a slewing restriction outside working hours.,October 2025,December 2026,"40,000 GBP"
R-012,Facade visual mock-up rejected under the planning condition,The planning officer rejected the first visual mock-up panel because the vertical fins looked too shallow from street level.,Regulatory,50%,High,12,Amrita Sandhu,closed,Deeper fin profile approved at the second mock-up on 19 June; planning condition 14 discharged in July.,05/29/2026,07/24/2026,150k
R-013,Steel price escalation before the order was placed,Section prices rose through the summer of 2025 while the frame design was being finalised.,Financial,Medium,Medium,,Rukayat Okafor,Closed,Fixed-price order placed with Brennan in October 2025 at tender rates.,2025-09-15,2025-12-19,200000
