Risk ID,risk_title,Description ,CATEGORY,likelihood,Impact,Risk Score,Risk Owner,status,Mitigation / Action,raised,review date,Exposure
R-001,Provider token spend outruns pre-purchased credits,Consumption growth is driven by internal teams with uncapped keys - spend can outrun the credit envelope inside a single quarter.,Financial,High,High,16,Hannah Okonkwo,open,Per-key budget caps and hard spend stops shipped in July; weekly burn review with finance.,2025-11-12,2026-10-09,480000
R-002,"Upstream rate limits apply per organisation, not per key",One team's batch job can exhaust the shared quota and throttle every other caller through the gateway.,Technical,4,High,,Daniel Wu,OPEN,Automatic failover across three providers plus request shaping at the edge; per-organisation quota dashboards.,22/01/2026,02/10/2026,"350,000"
R-003,Prompt logging retains request bodies beyond data residency commitments,"Full request and response bodies were retained for 30 days in a single region, which exceeds what customer contracts allow.",Regulatory,50%,Very High,15,Yusuf Karim,mitigated,Retention cut to 72 hours with field-level redaction; data protection impact assessment updated.,08-May-26,13-Nov-26,"$520,000"
R-004,Single-region control plane is a single point of failure,"Routing, keys and quota state all live in one region - a regional outage takes every tenant offline.",Technical,Medium,Very High,15,Daniel Wu,Closed,Second region live since September with a tested 11-minute failover.,3 December 2025,4 September 2026,$0.4M
R-005,Streaming responses truncate under the new load balancer,Long completions were cut short for six days before detection because buffering defaults changed, pending PMO confirmation,Technical,3,Medium,M/M,Lena Petrova,Closed,Buffering defect fixed and covered by a streaming conformance test in CI.,June 2026,July 2026,"90,000 USD"
R-006,Provider commercial terms worsen at renewal,Two of the three upstream contracts renew in Q1 2027 with volume commitments set before demand grew – raised at the vendor review.,Vendor,50%,High,12,Hannah Okonkwo,Open,Renewal negotiations opened early with committed-volume pricing benchmarked across three providers.,02/19/2026,10/30/2026,275k
R-007,Customer API keys are stored without automatic rotation,"Keys are hashed at rest but there is no rotation endpoint, so a leaked key stays valid until someone notices.",Security,Medium,High,12,Yusuf Karim,Open,Rotation endpoint scoped for Q4; per-key scopes and last-used telemetry already shipped.,2026-03-27,2026-10-16,240000
R-008,Upstream model deprecations break pinned model IDs,Customers pin exact model identifiers; a provider retiring two of them in November would break those integrations.,Vendor,4,Medium,H/M,Lena Petrova,Open,Alias layer maps pinned IDs onto current models; deprecation calendar tracked per provider.,15/04/2026,23/10/2026,"160,000"
R-009,"Usage metering lags real spend, so chargeback is disputed","Metering trailed provider invoices by up to 36 hours, so per-team cost attribution could not be reconciled.",Data,80%,Medium,12,Hannah Okonkwo,open,Metering pipeline moved to 15-minute batches and reconciled against provider invoices monthly.,30-Jan-26,09-Oct-26,"$130,000"
R-010,SOC 2 Type II evidence collection behind schedule,Evidence for five of nineteen controls is still collected by hand during the observation window.,Regulatory,Medium,High,12,Yusuf Karim,Open,Evidence automation in place for fourteen controls; weekly review with the auditor until the window closes.,26 June 2026,6 November 2026,$0.3M
R-011,Latency-aware routing degrades quality on long-context requests,"Routing  on latency alone sends long-context requests to whichever model answers fastest, not the one that answers best.",Technical,3,Medium,M/M,Lena Petrova,Open,,August 2026,TBD,"185,000 USD"
R-012,Contract engineering ramp-down leaves single-owner areas,Billing and two provider adapters have one owner each once Northcape rolls off in October.,Resource,80%,Medium,12,,Open,see attached,07/09/2026,10/16/2026,210k
